exp_begin,model_id,epoch,train_loss,train_acc,train_time,valid_loss,valid_acc,valid_time,test_loss,test_acc,test_time,exp_name,act,skip,bn_layer,bn_act,optim,lr,num_epoch,seed,sched,stat_file,model_file
06:57:22,0,1,2.0433778095123407,41.564498081841435,43.6148042678833,1.9377146129366718,52.274525316455694,3.345184803009033,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,2,1.9323271141027856,52.90401214833759,43.50524401664734,1.8751605281346961,59.0684335443038,3.3096137046813965,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,3,1.8901648777525137,57.09159207161125,43.48623704910278,1.8513141870498657,61.27373417721519,3.3562965393066406,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,4,1.8601499692253445,60.1798273657289,43.31595420837402,1.8260701095001608,63.61748417721519,3.3750336170196533,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,5,1.8377475473277098,62.43246483375959,43.49966526031494,1.8017025205153454,66.08979430379746,3.3768537044525146,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,6,1.8218155952975572,63.93622122762148,43.66383242607117,1.796310794504383,66.5051424050633,3.349618673324585,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,7,1.81303954551287,64.85414002557545,43.41178822517395,1.7920016714289217,67.00949367088607,3.363091468811035,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,8,1.80217511422189,65.85597826086956,43.54141640663147,1.7737693303748021,68.57199367088607,3.3947699069976807,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,9,1.7902688974004877,67.15672953964194,43.669981241226196,1.7654886155188838,69.74881329113924,3.382493019104004,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,10,1.783094459177588,67.83767583120205,43.43924856185913,1.7590566405767127,70.19382911392405,3.3421943187713623,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,11,1.7745664019109038,68.79235933503837,43.449700355529785,1.7568397069279151,70.34216772151899,3.3628175258636475,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,12,1.770955253744979,68.982976342711,43.50728106498718,1.7562845930268494,70.27294303797468,3.373781442642212,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,13,1.7637808466201548,69.78540601023018,43.19465780258179,1.75638291202014,70.42128164556962,3.4038312435150146,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,14,1.7590526110680818,70.18821930946291,43.39769101142883,1.739168120335929,72.08267405063292,3.4239203929901123,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,15,1.7537344529500702,70.68534207161126,43.48526167869568,1.7406005919734133,72.14200949367088,3.36662220954895,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,16,1.7518749145595618,70.93430306905371,43.388121366500854,1.7343297819548016,72.37935126582279,3.372421979904175,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
06:57:22,0,17,1.7467019201239662,71.44621163682865,43.51119303703308,1.7378006585036652,72.35957278481013,3.3936071395874023,1.803288385272026,65.95703125,0.7299315929412842,exp5-adamconst,silu,2,all,before,adam,0.001,60,3456,const,output/exp5-adamconst_model-0_stat.csv,output/exp5-adamconst_model-0_model.pt
