exp_begin,model_id,epoch,train_loss,train_acc,train_time,valid_loss,valid_acc,valid_time,test_loss,test_acc,test_time,exp_name,act,skip,optim,sched,lr,num_epoch,seed,bn_act,bn_layer,stat_file,model_file
06:46:16,2,1,2.027922914003777,43.0806425831202,47.871898889541626,1.9146762129607473,54.59792993630573,3.6208531856536865,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,2,1.9185956794282664,54.18398337595908,47.81884503364563,1.8720646876438407,58.9171974522293,3.7048511505126953,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,3,1.8830750974852715,57.792519181585675,47.88045310974121,1.8491931303291564,60.927547770700635,3.6809709072113037,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,4,1.8516463713572764,60.87156329923274,47.620537757873535,1.8287550825981578,62.99761146496815,3.5302820205688477,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,5,1.8367710273589015,62.34015345268542,47.95273733139038,1.8213765135236606,63.8734076433121,3.712738275527954,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,6,1.8216312617597068,63.78876278772378,47.83526396751404,1.791331493930452,66.84912420382166,3.7078006267547607,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,7,1.809844189440198,64.98960997442455,48.111987352371216,1.7916938400572273,66.78941082802548,3.7495336532592773,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,8,1.7976597942354735,66.29835358056266,47.87073612213135,1.779708087064658,68.06329617834395,3.6923000812530518,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,9,1.7905843135950816,66.94173593350384,47.96318602561951,1.7660386623091,69.40684713375796,3.66381573677063,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,10,1.7838964117762377,67.58711636828644,47.78201222419739,1.76538057843591,69.67555732484077,3.7061829566955566,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,11,1.7743436700242865,68.58415920716112,48.15757346153259,1.7449663103006448,71.46695859872611,3.642019748687744,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,12,1.7694236175788334,69.06369884910485,48.23565673828125,1.7400318748632055,72.0342356687898,3.652128219604492,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,13,1.7635215176340868,69.56521739130434,48.09486985206604,1.7321360984425636,72.80055732484077,3.660069465637207,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,14,1.7618485501660106,69.83895460358056,48.02715516090393,1.7368772796764496,72.28304140127389,3.62186336517334,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
06:46:16,2,15,1.7541273852138568,70.5602621483376,48.24434041976929,1.7346466643035792,72.62141719745223,3.69718074798584,1.8685238249599934,59.08203125,0.8185129165649414,exp3-bn,silu,2,adam,const,0.001,15,3456,before,all,output/exp3-bn_model-2_stat.csv,output/exp3-bn_model-2_model.pt
