exp_begin,model_id,epoch,train_loss,train_acc,train_time,valid_loss,valid_acc,valid_time,test_loss,test_acc,test_time,exp_name,bn_layer,bn_act,optim,sched,lr,num_epoch,seed,act,skip,stat_file,model_file
05:56:18,2,1,2.095699955740243,35.74968030690537,45.76721549034119,2.0023475619638043,45.17316878980892,3.587015151977539,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,2,1.9875613969305288,46.994884910485936,45.85531806945801,1.925503467298617,53.18471337579618,3.5931456089019775,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,3,1.9412411234872726,51.70835997442455,46.23001265525818,1.9124323387814175,54.38893312101911,3.5787627696990967,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,4,1.9091146015145284,55.0471547314578,45.38082242012024,1.8761521972668398,58.42953821656051,3.613515853881836,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,5,1.8886067129461968,57.00727301790281,46.05660676956177,1.8565075678430545,60.35031847133758,3.5546884536743164,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,6,1.8709302617765753,58.77157928388747,46.378599643707275,1.844545756935314,61.30573248407644,3.5868234634399414,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,7,1.8540428050643647,60.449968030690535,46.28017473220825,1.8320430000876164,62.92794585987261,3.5641727447509766,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,8,1.8402986160629546,61.87060421994885,45.94689059257507,1.8177134307326785,64.13216560509554,3.645103693008423,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,9,1.828999968136058,63.005514705882355,46.318857192993164,1.8085480191905028,65.11743630573248,3.6760990619659424,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,10,1.82183979219183,63.69485294117647,45.65045785903931,1.7977895637986008,66.18232484076434,3.6685473918914795,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,11,1.8100495458868764,64.86772698209718,46.28613305091858,1.7985727293476177,65.90366242038216,3.5684661865234375,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,12,1.805602683283179,65.28532608695652,46.23473906517029,1.7780758848615512,68.11305732484077,3.6091630458831787,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,13,1.7997373389770916,65.90672953964194,45.836111545562744,1.7832577342440368,67.62539808917198,3.6021876335144043,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,14,1.7942521293145006,66.50815217391305,45.50515103340149,1.7764808767160791,68.26234076433121,3.5158584117889404,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
05:56:18,2,15,1.7940852076501188,66.5361253196931,45.89307165145874,1.7758972895373204,68.1827229299363,3.5081217288970947,1.9067223258316517,55.322265625,0.8154761791229248,exp2-skip,none,before,adam,const,0.001,15,3456,silu,1,output/exp2-skip_model-2_stat.csv,output/exp2-skip_model-2_model.pt
