exp_begin,model_id,epoch,train_loss,train_acc,train_time,valid_loss,valid_acc,valid_time,test_loss,test_acc,test_time,exp_name,act,skip,bn_layer,bn_act,sched,num_epoch,seed,lr,optim,stat_file,model_file
00:42:29,1,6,1.8228668765643674,63.692854859335036,46.93812918663025,1.8042162717527646,65.44585987261146,3.5551979541778564,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,7,1.8132079202500755,64.76582480818415,47.268325090408325,1.7884851048706443,66.92874203821655,3.570288896560669,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,8,1.7998542723143498,66.03660485933504,47.01916837692261,1.7728825238100283,68.67038216560509,3.576390504837036,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,9,1.7935893323720264,66.65800831202046,46.85048532485962,1.7656661568173937,69.41679936305732,3.5523605346679688,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,10,1.786848514738595,67.38930626598466,47.19844317436218,1.760391930865634,69.72531847133757,3.570741891860962,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,11,1.7769094405271817,68.22650255754476,47.58560562133789,1.7595929150368756,70.09355095541402,3.655515193939209,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,12,1.7724380134926427,68.76598465473145,47.54479241371155,1.7509397974439487,70.8797770700637,3.5670840740203857,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,13,1.769161051953845,69.0716911764706,47.6709566116333,1.7544481974498483,70.60111464968153,3.650117874145508,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,14,1.7633062820605305,69.66911764705883,47.624242305755615,1.7406091082627606,71.88495222929936,3.6507341861724854,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:42:29,1,15,1.7593773658318288,70.04675511508951,47.60245203971863,1.739062224224115,72.19347133757962,3.723196506500244,1.8749316036701202,57.958984375,0.8065359592437744,exp4-optim,silu,2,all,before,const,15,3456,0.001,adam,output/exp4-optim_model-1_stat.csv,output/exp4-optim_model-1_model.pt
00:55:11,2,1,2.10562026805585,35.35006393861892,45.83559536933899,1.9912216572245216,47.31289808917197,3.607733726501465,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,2,1.992015533892395,47.17071611253197,45.63200616836548,1.9404663986461177,52.50796178343949,3.758568525314331,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,3,1.942536907732639,52.12595907928389,45.59341549873352,1.8950594397866802,56.63813694267516,3.641787052154541,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,4,1.9060022538275365,55.75447570332481,45.3670494556427,1.883085382212499,57.991640127388536,3.663309335708618,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,5,1.8820090168882209,58.15617007672634,45.955522298812866,1.8668219428153554,59.50437898089172,3.6738767623901367,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,6,1.8657700282228573,59.77062020460358,45.56375598907471,1.8226470681512432,64.09235668789809,3.730252504348755,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,7,1.8490301478854225,61.46299552429667,45.922059297561646,1.81751230795672,64.65963375796179,3.7114737033843994,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
