exp_begin,model_id,epoch,train_loss,train_acc,train_time,valid_loss,valid_acc,valid_time,test_loss,test_acc,test_time,exp_name,skip,bn_layer,bn_act,optim,sched,lr,num_epoch,seed,act,stat_file,model_file
04:58:27,4,1,2.1097036597064083,34.43294437340153,45.138694047927856,2.004522371443973,44.934315286624205,3.5524139404296875,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,2,1.99119332836717,46.509351023017906,44.61178421974182,1.951961060238492,50.69665605095541,3.4863579273223877,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,3,1.9505268019788407,50.713315217391305,45.15089201927185,1.9283811096932477,53.00557324840764,3.568580389022827,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,4,1.9150689896720146,54.377797314578004,44.82102823257446,1.8881089482337805,56.94665605095541,3.5633015632629395,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,5,1.894900894835782,56.335917519181585,44.809629678726196,1.862250304525825,59.53423566878981,3.5643668174743652,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,6,1.8838448855273253,57.44085677749361,45.215248823165894,1.8813106998516496,57.78264331210191,3.567979335784912,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,7,1.8674723400789148,59.01734335038363,44.719016551971436,1.8405993987040914,61.75358280254777,3.437664270401001,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,8,1.857858947475853,60.02637468030691,44.750415086746216,1.8276583670051234,63.05732484076433,3.477721929550171,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,9,1.8499661156588503,60.89354219948849,44.59313488006592,1.8210046162271196,63.73407643312102,3.6268277168273926,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,10,1.843204240207477,61.55890345268542,44.93685460090637,1.8090809006599864,65.01791401273886,3.4839978218078613,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,11,1.8377232482976011,62.05642583120205,44.70047307014465,1.8162606005456037,64.38097133757962,3.5239789485931396,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,12,1.8401766739537955,61.85262148337596,44.91862511634827,1.812956971727359,64.45063694267516,3.475822925567627,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,13,1.8330117944256423,62.6178868286445,44.783684492111206,1.8198927329604033,63.83359872611465,3.5107967853546143,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,14,1.829729907348028,62.881633631713555,44.742730140686035,1.797853482756645,66.1624203821656,3.5502119064331055,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
04:58:27,4,15,1.826471007388571,63.231297953964194,44.887325048446655,1.806661680245855,65.17714968152866,3.5251846313476562,1.9335331954061985,52.44140625,0.7623658180236816,exp1-actfun,0,none,before,adam,const,0.001,15,3456,lrelu,output/exp1-actfun_model-4_stat.csv,output/exp1-actfun_model-4_model.pt
