exp_begin,model_id,epoch,train_loss,train_acc,train_time,test_loss,test_acc,test_time,library,device,num_epoch,num_run,learning_rate,batch_size,overwrite,filename
02:53:48,0,4,1.5894564003007026,88.47489929199219,27.02059864997864,1.5178501304143517,94.78165435791016,17.83886003494263,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:53:48,0,4,1.5071917451345005,95.87340545654295,16.19886565208435,1.4980300076496906,96.66466522216795,16.356495141983032,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:53:48,0,4,1.4916067714365118,97.22222900390624,15.1436448097229,1.4919617917293158,97.23558044433594,15.866139888763428,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:53:48,0,4,1.4833279542433908,98.0902862548828,15.157829999923706,1.4868432841239831,97.6863021850586,16.00898241996765,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:53:48,0,4,1.4768187393490066,98.63782501220705,15.520962476730347,1.4835503231256435,97.92668151855469,15.845361709594727,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:56:55,1,4,1.6062856209583771,86.44498443603516,17.663808107376102,1.5250941113783762,93.9803695678711,16.087549209594727,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:56:55,1,4,1.5108830714837098,95.51282501220705,15.018358945846558,1.4969755292702944,96.72476196289062,15.686025142669678,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:56:55,1,4,1.4936256474918792,97.11538696289062,15.62635087966919,1.4934778209680166,97.01522827148438,15.60568642616272,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:56:55,1,4,1.4855185319215825,97.9433822631836,15.712679624557495,1.4893003606643431,97.40585327148438,16.029793977737427,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:56:55,1,4,1.4809261020432172,98.2371826171875,15.760293006896973,1.4855541831407792,97.78646087646484,16.174578666687008,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:59:44,2,4,1.6147882209883797,86.04434204101562,17.661685228347782,1.517949648392506,94.7616195678711,16.351258754730225,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:59:44,2,4,1.5102409424944818,95.55288696289062,15.23934555053711,1.5022333749593832,96.31410217285156,15.785580158233644,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:59:44,2,4,1.4926546730546868,97.24893951416016,15.634259939193726,1.491867252267324,97.23558044433594,15.7340407371521,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:59:44,2,4,1.483718190437708,98.1169891357422,16.16944193840027,1.4875386831087944,97.60617065429688,16.392727613449097,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
02:59:44,2,4,1.4794117084935179,98.50428009033205,15.63143801689148,1.4844200370403438,97.91667175292969,16.58144187927246,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:02:37,3,4,1.7609155763927689,70.81998443603516,20.963525533676147,1.6328298117105775,83.28325653076172,15.638938426971436,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:02:37,3,4,1.5896719678854332,87.4599380493164,15.785747528076172,1.522075593853608,94.1806869506836,16.15924859046936,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:02:37,3,4,1.5128842943753948,95.19231414794922,15.906155109405518,1.50377583083434,95.96353912353516,16.319271087646484,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:02:37,3,4,1.4990582012722635,96.5277862548828,15.981874465942385,1.4972302753191729,96.62460327148438,17.65006875991821,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:02:37,3,4,1.4899309221495929,97.52938842773438,15.104280710220337,1.4929073449128714,97.07532501220705,16.465470552444458,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:05:41,4,4,1.6395588119824729,83.65384674072266,26.877649307250977,1.5343894943212852,93.3193130493164,15.964887142181395,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:05:41,4,4,1.5187493863268795,94.63141632080078,15.486424446105955,1.5067743349533815,95.91345977783205,17.261350154876713,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:05:41,4,4,1.5006408574234726,96.4209442138672,15.68397045135498,1.4999068142511909,96.37419891357422,17.289624214172367,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:05:41,4,4,1.4908987584277096,97.26229095458984,16.49979591369629,1.4957469839316149,96.84495544433594,17.074788093566895,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:05:41,4,4,1.4845085867449768,97.9700927734375,16.277328491210938,1.4879969450143666,97.54607391357422,16.546252250671387,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:08:49,5,4,1.6044132796108213,87.37981414794922,20.70931625366211,1.5224667703494048,94.29086303710938,18.175481319427487,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:08:49,5,4,1.5109579680312393,95.52617645263672,16.422295093536373,1.5029428318524969,96.1338119506836,16.658106565475464,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
03:08:49,5,4,1.4933755092131786,97.18215942382812,15.483190774917604,1.4934308876593907,97.00521087646484,16.266185998916626,PyTorch,TPU,5,10,0.001,32,False,output/PyTorch-TPU.csv
