,exp_begin,model_id,epoch,train_loss,train_acc,train_time,test_loss,test_acc,test_time,library,device,num_epoch,num_run,learning_rate,batch_size,filename
0,04:01:15,00,0,1.6069837088902792,85.56166666666667,18.513303995132446,1.5088877856921845,95.49720447284345,2.2412681579589844,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
1,04:01:15,00,1,1.4951729164123535,96.78833333333333,18.524758100509644,1.4904908893969113,97.29432907348243,2.1921727657318115,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
2,04:01:15,00,2,1.482104851023356,98.03666666666666,18.483197689056396,1.4817701151576668,97.9832268370607,2.248753070831299,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
3,04:01:15,00,3,1.477405369313558,98.45166666666667,18.672950744628906,1.4789738586535468,98.28274760383387,2.2530834674835205,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
4,04:01:15,00,4,1.4734384994506835,98.81666666666666,18.42092728614807,1.4795845011933544,98.24281150159744,2.1871862411499023,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
5,04:02:59,01,0,1.701643421681722,75.98166666666667,18.247445106506348,1.5883365279188553,87.23043130990415,2.1437036991119385,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
6,04:02:59,01,1,1.5346437647501627,92.80666666666667,18.316240310668945,1.4873751447604486,97.49400958466454,2.2065608501434326,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
7,04:02:59,01,2,1.4823156302134195,98.03666666666666,18.14478826522827,1.484276186924773,97.70367412140575,2.1916515827178955,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
8,04:02:59,01,3,1.4769677499135336,98.50166666666667,18.398648977279663,1.481405471460507,97.93330670926518,2.1598167419433594,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
9,04:02:59,01,4,1.4737739122390747,98.79166666666667,18.352275609970093,1.4800021953095261,98.23282747603834,2.147448778152466,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
10,04:04:41,02,0,1.5649983730951944,89.98666666666666,18.414304733276367,1.4955008311774403,96.80511182108626,2.156266212463379,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
11,04:04:41,02,1,1.4872289030075074,97.55,18.34622049331665,1.4856832252142909,97.78354632587859,2.1688191890716553,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
12,04:04:41,02,2,1.4799463517506917,98.23166666666667,18.426597356796265,1.4832568210534776,97.8035143769968,2.1856980323791504,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
13,04:04:41,02,3,1.4757540114720662,98.59333333333333,18.43019437789917,1.4852556999499045,97.65375399361022,2.21919584274292,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
14,04:04:41,02,4,1.473098909886678,98.85833333333333,18.276184797286987,1.4774019870514306,98.41253993610223,2.162923812866211,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
15,04:06:24,03,0,1.6270940593719483,83.63166666666666,18.67602276802063,1.507779845414451,95.59704472843451,2.2192699909210205,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
16,04:06:24,03,1,1.4965170148213705,96.655,18.621323585510254,1.4866491841812866,97.67372204472844,2.219548225402832,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
17,04:06:24,03,2,1.4824548752466837,97.995,18.452396392822266,1.4822649133091155,97.92332268370608,2.196193218231201,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
18,04:06:24,03,3,1.477656926282247,98.435,18.546806573867798,1.4865016354539524,97.53394568690096,2.2292160987854004,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
19,04:06:24,03,4,1.4751258518218995,98.65666666666667,18.343010425567627,1.4797742694330673,98.1629392971246,2.136869192123413,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
20,04:08:08,04,0,1.5765248119354247,88.80666666666667,18.815273761749268,1.5108637497447932,95.33746006389777,2.2301442623138428,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
21,04:08:08,04,1,1.4977280902226766,96.51333333333334,18.576496601104736,1.498758587974329,96.43570287539936,2.23046875,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
22,04:08:08,04,2,1.4844780170440675,97.825,18.276854991912842,1.4845082832220644,97.92332268370608,2.156278133392334,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
23,04:08:08,04,3,1.4791838291803996,98.28,17.91698956489563,1.479598540467576,98.31269968051119,2.1452934741973877,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
24,04:08:08,04,4,1.4748326106389364,98.71666666666667,18.54976224899292,1.4811794038016957,98.04313099041534,2.168179750442505,PyTorch,GPU,5,5,0.001,32,output/PyTorch-GPU.csv
